period,region,cor,age_group,arv_count
2014,OCEANIA,New Zealand,Age 14 & Below,11435
2014,OCEANIA,Australia,Age 15 - 19,34347
2014,OCEANIA,New Zealand,Age 15 - 19,4398
2014,OCEANIA,Australia,Age 20 - 24,51274
2014,OCEANIA,New Zealand,Age 20 - 24,5852
2014,OCEANIA,Australia,Age 25 - 34,178070
2014,OCEANIA,New Zealand,Age 25 - 34,16927
2014,OCEANIA,Australia,Age 35 - 44,189759
2014,OCEANIA,New Zealand,Age 35 - 44,18176
2014,OCEANIA,Australia,Age 45 - 54,190231
2014,OCEANIA,New Zealand,Age 45 - 54,22438
2014,OCEANIA,Australia,Age 55 - 64,172696
2014,OCEANIA,New Zealand,Age 55 - 64,20704
2014,OCEANIA,Australia,Age 65 & Above,144265
2014,OCEANIA,New Zealand,Age 65 & Above,18758
2014,OCEANIA,Australia,Not Stated,1
2014,OCEANIA,New Zealand,Not Stated,0
2015,OCEANIA,Australia,Age 14 & Below,108887
2015,OCEANIA,New Zealand,Age 14 & Below,11884
2015,OCEANIA,Australia,Age 15 - 19,33215
2015,OCEANIA,New Zealand,Age 15 - 19,4735
2015,OCEANIA,Australia,Age 20 - 24,47127
2015,OCEANIA,New Zealand,Age 20 - 24,5938
2015,OCEANIA,Australia,Age 25 - 34,162249
2015,OCEANIA,New Zealand,Age 25 - 34,17566
2015,OCEANIA,Australia,Age 35 - 44,178012
2015,OCEANIA,New Zealand,Age 35 - 44,18708
2015,OCEANIA,Australia,Age 45 - 54,184635
2015,OCEANIA,New Zealand,Age 45 - 54,24265
2015,OCEANIA,Australia,Age 55 - 64,173725
2015,OCEANIA,New Zealand,Age 55 - 64,23245
2015,OCEANIA,Australia,Age 65 & Above,155716
2015,OCEANIA,New Zealand,Age 65 & Above,21277
2015,OCEANIA,Australia,Not Stated,2
